id_disease	name_gene
OMIM:101000	NF2
OMIM:107480	NF2
OMIM:108120	NF2
OMIM:113620	NF2
OMIM:113650	NF2
OMIM:119500	NF2
OMIM:121050	NF2
OMIM:122470	NF2
OMIM:131300	NF2
OMIM:142900	NF2
OMIM:147920	NF2
OMIM:153400	NF2
OMIM:154500	NF2
OMIM:161200	NF2
OMIM:162200	NF2
OMIM:175700	NF2
OMIM:176450	NF2
OMIM:180849	NF2
OMIM:182212	NF2
OMIM:191100	NF2
OMIM:193700	NF2
OMIM:216550	NF2
OMIM:218600	NF2
OMIM:225750	NF2
OMIM:235730	NF2
OMIM:236670	NF2
OMIM:236680	NF2
OMIM:243800	NF2
OMIM:265000	NF2
OMIM:270400	NF2
OMIM:303600	NF2
OMIM:305400	NF2
OMIM:305450	NF2
