[Disease]
OMIM:101000	NF2
HP:0009589	0.85	   
HP:0007935	0.72	   
HP:0009593	0.68	   
HP:0002858	0.45	   
HP:0007876	0.41	   
HP:0009595	0.27	   
HP:0000360	0.1	   
HP:0009594	0.09	   
HP:0001251	0.08	   
HP:0009590	0.06	   
HP:0009592	0.04	   
HP:0002888	0.025	   
[Disease]
OMIM:107480	SALL1
HP:0001177	0.5	   
HP:0001199	0.5	   
HP:0000384	0.5	   
HP:0001864	0.5	   
HP:0002023	0.4696	   
HP:0000003	0.075	   
HP:0000083	0.075	   
HP:0000110	0.075	   
HP:0000089	0.075	   
HP:0000076	0.075	   
[Disease]
OMIM:108120	TPM2
HP:0001838	0.88	   
HP:0001374	0.38	   
HP:0003184	0.38	   
HP:0003273	0.38	   
HP:0001848	0.33	   
HP:0001188	0.25	   
HP:0001762	0.25	   
HP:0001181	0.25	   
HP:0001032	0.25	   
HP:0009742	0.17	   
HP:0000954	0.075	   
HP:0000211	0.075	   
HP:0000028	0.075	   
[Disease]
OMIM:113620	TFAP2A
HP:0002162	0.92	   
HP:0000368	0.9047	   
HP:0000579	0.7435	   
HP:0000470	0.66	   
HP:0002987	0.64	   
HP:0000506	0.58	   
HP:0001057	0.57	   
HP:0000987	0.57	   
HP:0000545	0.57	   
HP:0000508	0.57	   
HP:0000639	0.57	   
HP:0000945	0.51	   
HP:0000582	0.48	   
HP:0000568	0.44	   
HP:0000528	0.44	   
HP:0008559	0.43	   
HP:0001256	0.4166	   
HP:0000405	0.3684	   
HP:0000047	0.33	   
HP:0000486	0.3055	   
HP:0002020	0.3	   
HP:0000545	0.2812	   
HP:0000508	0.2777	   
HP:0000518	0.2424	   
HP:0002216	0.2368	   
HP:0000268	0.2307	   
HP:0001250	0.23	   
HP:0008606	0.15	   
HP:0000407	0.075	   
HP:0000104	0.075	   
HP:0001177	0.075	   
HP:0000196	0.075	   
HP:0002335	0.075	   
HP:0002211	0.075	   
HP:0000455	0.075	   
HP:0000175	0.075	   
HP:0000252	0.075	   
HP:0002020	0.075	   
HP:0005217	0.075	   
HP:0004785	0.075	   
HP:0002021	0.075	   
HP:0004464	0.075	   
[Disease]
OMIM:113650	EYA1
HP:0009795	0.5	   
HP:0009796	0.5	   
HP:0000378	0.45	   
HP:0000402	0.3	   
HP:0000799	0.1	   
HP:0000691	0.075	   
HP:0009798	0.075	   
HP:0000384	0.075	   
HP:0000175	0.075	   
HP:0000156	0.075	   
HP:0000193	0.075	   
HP:0002060	0.075	   
HP:0009797	0.075	   
HP:0001374	0.075	   
[Disease]
OMIM:121050	FBN2
HP:0001519	0.86	   
HP:0001166	0.86	   
HP:0002987	0.86	   
HP:0008962	0.65	   
HP:0001762	0.32	   
