[Disease]
OMIM:113620	TFAP2A
HP:0002162	0.92	   
HP:0000368	0.9047	   
HP:0000579	0.7435	   
HP:0000470	0.66	   
HP:0002987	0.64	   
HP:0000506	0.58	   
HP:0001057	0.57	   
HP:0000987	0.57	   
HP:0000545	0.57	   
HP:0000508	0.57	   
HP:0000639	0.57	   
HP:0000945	0.51	   
HP:0000582	0.48	   
HP:0000568	0.44	   
HP:0000528	0.44	   
HP:0008559	0.43	   
HP:0001256	0.4166	   
HP:0000405	0.3684	   
HP:0000047	0.33	   
HP:0000486	0.3055	   
HP:0002020	0.3	   
HP:0000545	0.2812	   
HP:0000508	0.2777	   
HP:0000518	0.2424	   
HP:0002216	0.2368	   
HP:0000268	0.2307	   
HP:0001250	0.23	   
HP:0008606	0.15	   
HP:0000407	0.075	   
HP:0000104	0.075	   
HP:0001177	0.075	   
HP:0000196	0.075	   
HP:0002335	0.075	   
HP:0002211	0.075	   
HP:0000455	0.075	   
HP:0000175	0.075	   
HP:0000252	0.075	   
HP:0002020	0.075	   
HP:0005217	0.075	   
HP:0004785	0.075	   
HP:0002021	0.075	   
HP:0004464	0.075	   
