[Disease]
OMIM:122470	NIPBL
HP:0002750	1.0	   
HP:0000664	0.98	   
HP:0000343	0.94	   
HP:0000219	0.94	   
HP:0002714	0.94	   
HP:0002983	0.93	   
HP:0002162	0.92	   
HP:0004691	0.86	   
HP:0000156	0.86	   
HP:0000463	0.85	   
HP:0001007	0.78	   
HP:0001612	0.74	   
HP:0000470	0.66	   
HP:0002987	0.64	   
HP:0008721	0.57	   
HP:0000545	0.57	   
HP:0000508	0.57	   
HP:0000639	0.57	   
HP:0000965	0.56	   
HP:0000954	0.51	   
HP:0001551	0.5	   
HP:0002557	0.5	   
HP:0000047	0.33	   
HP:0002020	0.3	   
HP:0001180	0.27	   
HP:0001249	0.25	   
HP:0000879	0.25	   
HP:0005815	0.25	   
HP:0003083	0.25	   
HP:0003997	0.25	   
HP:0001250	0.23	   
HP:0000588	0.075	   
HP:0000483	0.075	   
HP:0000648	0.075	   
HP:0001629	0.075	   
HP:0002984	0.075	   
HP:0000486	0.075	   
HP:0000520	0.075	   
HP:0001873	0.075	   
HP:0000059	0.075	   
HP:0002036	0.075	   
HP:0000776	0.075	   
HP:0000175	0.075	   
HP:0000482	0.075	   
HP:0002021	0.075	   
HP:0000453	0.075	   
HP:0000023	0.075	   
HP:0002020	0.075	   
HP:0005217	0.075	   
HP:0004785	0.075	   
