[Disease]
OMIM:180849	CREBBP
HP:0001249	1.0	   
HP:0000444	0.9	   
HP:0000494	0.88	   
HP:0000527	0.87	   
HP:0002317	0.85	   
HP:0000377	0.84	   
HP:0000028	0.78	   
HP:0000574	0.76	   
HP:0001007	0.75	   
HP:0002750	0.74	   
HP:0001763	0.72	   
HP:0004411	0.71	   
HP:0000486	0.69	   
HP:0002353	0.57	   
HP:0000286	0.55	   
HP:0003298	0.47	   
HP:0000579	0.43	   
HP:0002650	0.42	   
HP:0002162	0.42	   
HP:0000260	0.41	   
HP:0000252	0.35	   
HP:0001631	0.33	   
HP:0001629	0.33	   
HP:0001643	0.33	   
HP:0008107	0.33	   
HP:0001135	0.31	   
HP:0005306	0.25	   
HP:0000294	0.24	   
HP:0000270	0.24	   
HP:0001250	0.23	   
HP:0000663	0.22	   
HP:0002236	0.2	   
HP:0000954	0.075	   
HP:0002700	0.075	   
HP:0000508	0.075	   
HP:0000049	0.075	   
HP:0000047	0.075	   
HP:0000501	0.075	   
HP:0002697	0.075	   
HP:0002999	0.075	   
HP:0000518	0.075	   
