[Disease]
OMIM:182212	SKI
HP:0001166	0.9189	   
HP:0000368	0.8648	   
HP:0000494	0.8378	   
HP:0000156	0.8108	   
HP:0000268	0.7567	   
HP:0000316	0.7567	   
HP:0002650	0.6216	   
HP:0000377	0.5405	   
HP:0000023	0.5135	   
HP:0001363	0.4864	   
HP:0000486	0.4594	   
HP:0000508	0.4324	   
HP:0000327	0.4324	   
HP:0001537	0.3513	   
HP:0001634	0.3513	   
HP:0001762	0.3513	   
HP:0000938	0.2702	   
HP:0000260	0.2432	   
HP:0000586	0.2432	   
HP:0000545	0.2307	   
HP:0000252	0.1621	   
HP:0002870	0.1621	   
HP:0000895	0.1621	   
HP:0003083	0.1351	   
HP:0009023	0.1351	   
HP:0005815	0.1351	   
HP:0000405	0.1351	   
HP:0002857	0.1081	   
HP:0003016	0.1081	   
HP:0002020	0.1081	   
HP:0000028	0.1081	   
