[Disease]
OMIM:193700	MYH3
HP:0000346	1.0	   
HP:0002751	0.84	   
HP:0003273	0.73	   
HP:0001762	0.59	   
HP:0000252	0.44	   
HP:0000506	0.25	   
HP:0000490	0.25	   
HP:0000343	0.25	   
HP:0000486	0.25	   
HP:0000581	0.25	   
HP:0001838	0.25	   
HP:0000431	0.25	   
HP:0000430	0.25	   
HP:0003044	0.25	   
HP:0001181	0.25	   
HP:0000286	0.25	   
HP:0000023	0.25	   
HP:0001611	0.25	   
HP:0001250	0.19	   
HP:0002365	0.075	   
HP:0002365	0.075	   
HP:0003298	0.075	   
HP:0000508	0.075	   
HP:0000470	0.075	   
HP:0002827	0.075	   
HP:0001518	0.075	   
