[Disease]
OMIM:218600	RECQL4
HP:0003031	0.68	   
HP:0000368	0.64	   
HP:0001249	0.5	   
HP:0000160	0.32	   
HP:0000494	0.32	   
HP:0000426	0.32	   
HP:0004425	0.27	   
HP:0003298	0.075	   
HP:0000486	0.075	   
HP:0000405	0.075	   
HP:0002996	0.075	   
HP:0000175	0.075	   
HP:0000545	0.075	   
HP:0000193	0.075	   
HP:0000902	0.075	   
HP:0006467	0.075	   
HP:0002126	0.075	   
HP:0000238	0.075	   
HP:0000286	0.075	   
HP:0001250	0.075	   
HP:0005201	0.075	   
HP:0000452	0.075	   
HP:0003065	0.075	   
HP:0005792	0.075	   
HP:0000430	0.075	   
HP:0000648	0.075	   
HP:0001274	0.075	   
