[Disease]
OMIM:243800	UBR1
HP:0002024	1.0	   
HP:0000430	1.0	   
HP:0002209	0.96	   
HP:0002236	0.96	   
HP:0006334	0.9	   
HP:0006349	0.9	   
HP:0001249	0.67	   
HP:0001545	0.4	   
HP:0000821	0.3	   
HP:0000126	0.25	   
HP:0001153	0.25	   
HP:0000126	0.25	   
HP:0000028	0.25	   
HP:0000054	0.25	   
HP:0000047	0.25	   
HP:0000143	0.18	   
HP:0000954	0.075	   
HP:0000819	0.075	   
HP:0002557	0.075	   
HP:0001362	0.075	   
HP:0000486	0.075	   
HP:0002253	0.075	   
HP:0003362	0.075	   
HP:0001696	0.075	   
HP:0000957	0.075	   
