[Disease]
OMIM:265000	CHRNG
HP:0002650	1.0	   
HP:0001836	1.0	   
HP:0006446	1.0	   
HP:0005617	1.0	   
HP:0000508	0.8181	   
HP:0000494	0.8181	   
HP:0008729	0.8	   
HP:0002643	0.7272	   
HP:0001762	0.7272	   
HP:0002714	0.7272	   
HP:0002808	0.7	   
HP:0000028	0.6666	   
HP:0009759	0.6363	   
HP:0009756	0.5454	   
HP:0000286	0.5454	   
HP:0000160	0.5	   
HP:0000343	0.4545	   
HP:0003083	0.4285	   
HP:0001060	0.3636	   
HP:0002949	0.3	   
HP:0009761	0.3	   
HP:0009760	0.2727	   
HP:0000405	0.2727	   
HP:0000902	0.2222	   
HP:0009757	0.1818	   
HP:0000175	0.1818	   
