[Disease]
OMIM:305450	MED12
HP:0001249	0.97	   
HP:0002236	0.91	   
HP:0001270	0.9	   
HP:0000494	0.85	   
HP:0000316	0.83	   
HP:0005833	0.81	   
HP:0000260	0.77	   
HP:0005490	0.74	   
HP:0001250	0.7	   
HP:0002019	0.69	   
HP:0000954	0.6	   
HP:0000286	0.56	   
HP:0001159	0.54	   
HP:0000486	0.52	   
HP:0000179	0.44	   
HP:0002025	0.38	   
HP:0001150	0.38	   
HP:0001545	0.38	   
HP:0000028	0.36	   
HP:0000960	0.25	   
HP:0002828	0.25	   
HP:0009762	0.25	   
HP:0008070	0.25	   
HP:0002213	0.25	   
HP:0001620	0.075
HP:0001171	0.075
HP:0000470	0.075 
HP:0000175	0.075
HP:0002021	0.075
HP:0000453	0.075
HP:0000047	0.075
