DatabaseID	HPO_ID
OMIM:187800	HP:0001902
OMIM:187800	HP:0000006
OMIM:187800	HP:0040185
OMIM:187800	HP:0001873
OMIM:187800	HP:0032438
OMIM:246450	HP:0410066
OMIM:246450	HP:0410051
OMIM:215140	HP:0000007
OMIM:215140	HP:0000256
OMIM:215140	HP:0000327
OMIM:215140	HP:0000774
OMIM:215140	HP:0001162
OMIM:215140	HP:0003107
OMIM:215140	HP:0009106
OMIM:215140	HP:0002787
OMIM:215140	HP:0002983
OMIM:215140	HP:0004331
OMIM:215140	HP:0001978
OMIM:215140	HP:0001790
OMIM:215140	HP:0006619
OMIM:215140	HP:0006637
OMIM:215140	HP:0008754
OMIM:215140	HP:0002202
OMIM:215140	HP:0005855
OMIM:215140	HP:0000347
OMIM:215140	HP:0003015
OMIM:215140	HP:0006487
OMIM:215140	HP:0000476
OMIM:215140	HP:0008873
OMIM:215140	HP:0001539
OMIM:215140	HP:0002101
OMIM:215140	HP:0000272
OMIM:215140	HP:0005528
OMIM:215140	HP:0001561
OMIM:215140	HP:0005716
OMIM:215140	HP:0003811
OMIM:215140	HP:0000890
OMIM:215140	HP:0000878
OMIM:215140	HP:0000277
OMIM:215140	HP:0000316
OMIM:215140	HP:0003330
OMIM:215140	HP:0001169
OMIM:215140	HP:0009803
OMIM:215140	HP:0000692
OMIM:215140	HP:0000782
OMIM:215140	HP:0000773
OMIM:215140	HP:0001552
OMIM:215140	HP:0001640
OMIM:215140	HP:0001433
OMIM:215140	HP:0002240
OMIM:215140	HP:0002089
OMIM:215140	HP:0002242
OMIM:215140	HP:0000348
OMIM:215140	HP:0005280
OMIM:215140	HP:0000369
OMIM:215140	HP:0001830
OMIM:215140	HP:0000315
OMIM:215140	HP:0008479
OMIM:215140	HP:0004510
OMIM:215140	HP:0001802
OMIM:215140	HP:0001804
OMIM:215140	HP:0008417
OMIM:215140	HP:0006559
OMIM:215140	HP:0009487
OMIM:215140	HP:0001852
OMIM:215140	HP:0002566
OMIM:215140	HP:0003440
OMIM:215140	HP:0003021
OMIM:215140	HP:0008364
OMIM:215140	HP:0000941
OMIM:215140	HP:0005019
OMIM:215140	HP:0000944
OMIM:215140	HP:0010675
OMIM:215140	HP:0002694
OMIM:215140	HP:0008516
OMIM:215140	HP:0004599
OMIM:215140	HP:0009107
OMIM:215140	HP:0008420
OMIM:215140	HP:0001367
OMIM:215140	HP:0010655
OMIM:114030	HP:0000006
OMIM:114030	HP:0007565
OMIM:114030	HP:0009737
OMIM:114030	HP:0001067
OMIM:120970	HP:0000006
OMIM:120970	HP:0000548
OMIM:120970	HP:0000662
OMIM:120970	HP:0001133
OMIM:120970	HP:0007663
OMIM:120970	HP:0000551
OMIM:120970	HP:0000512
OMIM:120970	HP:0011509
OMIM:120970	HP:0000603
OMIM:120970	HP:0012508
OMIM:120970	HP:0007722
OMIM:120970	HP:0007737
OMIM:609135	HP:0001915
OMIM:609135	HP:0005528
OMIM:613860	HP:0000007
OMIM:613860	HP:0002783
OMIM:613860	HP:0002722
OMIM:613860	HP:0200043
OMIM:609508	HP:0000006
OMIM:609508	HP:0000545
OMIM:609508	HP:0000541
OMIM:609508	HP:0004327
OMIM:609508	HP:0012230
OMIM:606003	HP:0001394
OMIM:606003	HP:0001433
OMIM:606003	HP:0001680
OMIM:606003	HP:0008665
OMIM:606003	HP:0001009
OMIM:606003	HP:0000007
OMIM:212720	HP:0000327
OMIM:611804	HP:0004445
OMIM:611804	HP:0001878
OMIM:611804	HP:0000006
OMIM:261550	HP:0000007
OMIM:261550	HP:0000022
OMIM:261550	HP:0003117
OMIM:261550	HP:0000023
OMIM:261550	HP:0008689
OMIM:261550	HP:0003251
OMIM:603075	HP:0000529
OMIM:603075	HP:0030499
OMIM:603075	HP:0031609
OMIM:603075	HP:0000608
OMIM:118301	HP:0000763
OMIM:118301	HP:0002398
OMIM:118301	HP:0003447
OMIM:118301	HP:0003693
OMIM:118301	HP:0005150
OMIM:118301	HP:0011727
OMIM:614237	HP:0000499
OMIM:614237	HP:0000007
OMIM:614237	HP:0002209
OMIM:614237	HP:0045075
OMIM:614237	HP:0002231
OMIM:126320	HP:0000006
OMIM:126320	HP:0009743
OMIM:126320	HP:0002619
OMIM:126320	HP:0001688
OMIM:126320	HP:0001643
OMIM:126320	HP:0004950
OMIM:126320	HP:0001629
OMIM:126320	HP:0010741
OMIM:249900	HP:0001263
OMIM:249900	HP:0002376
OMIM:249900	HP:0007305
OMIM:249900	HP:0002518
OMIM:109150	HP:0000544
OMIM:109150	HP:0000640
OMIM:109150	HP:0001257
OMIM:109150	HP:0001260
OMIM:109150	HP:0001300
OMIM:109150	HP:0001332
OMIM:109150	HP:0002380
OMIM:109150	HP:0003676
OMIM:109150	HP:0001251
OMIM:236400	HP:0000083
OMIM:236400	HP:0000248
OMIM:236400	HP:0011220
OMIM:236400	HP:0000431
OMIM:236400	HP:0008551
OMIM:236400	HP:0000385
OMIM:618781	HP:0000007
OMIM:618781	HP:0002110
OMIM:618781	HP:0002643
OMIM:618781	HP:0011108
OMIM:618781	HP:0040128
OMIM:618781	HP:0000388
OMIM:618781	HP:0030853
OMIM:612961	HP:0000006
OMIM:612961	HP:0003041
OMIM:612961	HP:0002967
OMIM:612961	HP:0009701
OMIM:612961	HP:0001440
OMIM:612961	HP:0006064
OMIM:618763	HP:0000007
OMIM:618763	HP:0001263
